NEGERI,PPD,PUSAT,SEMESTER,BIDANG,PAKEJ MATA PELAJARAN
KELANTAN,TANAH MERAH,SMK TAN SRI MOHAMED YAACOB,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, GEO, KMK"
KELANTAN,TANAH MERAH,SMK TAN SRI MOHAMED YAACOB,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, GEO, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, GEO, KMK"
KELANTAN,TANAH MERAH,SMK TAN SRI MOHAMED YAACOB,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, GEO, KMK"
KELANTAN,TANAH MERAH,SMK TAN SRI MOHAMED YAACOB,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, SEJ, GEO, KMK"
KELANTAN,TANAH MERAH,SMK TAN SRI MOHAMED YAACOB,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, SEJ, GEO, KMK"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (1),SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, BIO, SS, SEMESTER 1, SAINS, BI (MUET), PA, MT, CHE, PHY, SV, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SS, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (1),SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, PHY, SV, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, SS, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (1),SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, BIO, SS, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, PHY, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (1),SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, PHY, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, GEO, SS, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SS, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SS, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SS, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SS, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SS, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, GEO, SS, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK TANAH MERAH (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, GEO, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SV, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, GEO, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, SEJ, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SV, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, EKO, GEO, PP, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,TANAH MERAH,SMK DATO' MAHMUD PADUKA RAJA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, GEO, SEJ, PP"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK KUALA KRAI,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK DABONG,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV"
KELANTAN,KUALA KRAI,SMK DABONG,SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV"
KELANTAN,KUALA KRAI,SMK DABONG,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SV"
KELANTAN,KUALA KRAI,SMK DABONG,SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV"
KELANTAN,KUALA KRAI,SMK PAHI,SEMESTER 1,SAINS,"BI (MUET), PA, MT, BIO, SS, CHE, SEMESTER 1, SAINS, BI (MUET), PA, MT, CHE, BIO, PHY, SEMESTER 3, SAINS, BI (MUET), PA, MT, BIO, SS, CHE, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, PHY"
KELANTAN,KUALA KRAI,SMK PAHI,SEMESTER 1,SAINS,"BI (MUET), PA, MT, CHE, BIO, PHY, SEMESTER 3, SAINS, BI (MUET), PA, MT, BIO, SS, CHE, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, PHY"
KELANTAN,KUALA KRAI,SMK PAHI,SEMESTER 3,SAINS,"BI (MUET), PA, MT, BIO, SS, CHE, SEMESTER 3, SAINS, BI (MUET), PA, MT, CHE, BIO, PHY"
KELANTAN,KUALA KRAI,SMK PAHI,SEMESTER 3,SAINS,"BI (MUET), PA, MT, CHE, BIO, PHY"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, PP, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (2),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, EKO, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (2),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, SV"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, GEO, SEJ, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SEJ, KMK, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, GEO, SEJ, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, KMK, SV, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, SEJ, KMK"
KELANTAN,KUALA KRAI,SMK SULTAN YAHYA PETRA (1),SEMESTER 3,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SEJ, KMK"
KELANTAN,GUA MUSANG,SMK TENGKU INDERA PETRA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, PP, SV, GEO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK"
KELANTAN,GUA MUSANG,SMK TENGKU INDERA PETRA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK, EKO, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK"
KELANTAN,GUA MUSANG,SMK TENGKU INDERA PETRA (1),SEMESTER 1,SAINS SOSIAL,"BI (MUET), PA, BM, SEJ, KMK, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, SV, SEMESTER 1, SAINS SOSIAL, BI (MUET), PA, SEJ, KMK, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, PP, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, GEO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK, EKO, SEMESTER 3, SAINS SOSIAL, BI (MUET), PA, BM, SEJ, KMK"
